mapsize_x       10
mapsize_y       10
resolution      1
autoshifted_x   0
autoshifted_y   0

global_map[0]: 10 10
0.000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.000
0.000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.000
0.000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.000
0.000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.000
0.000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.000
0.000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.000
0.000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.000
0.000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.000
0.000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.000
0.000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.000
